Geno,Block,Loc,Year,Height
BESC-319,2,CA,2011,426
BESC-319,3,CA,2011,320
BESC-319,Replacement,CA,2011,319
BESC-32,1,CA,2011,248
BESC-32,3,CA,2011,259
BESC-32,3,CA,2011,NA
BESC-320,1,CA,2011,NA
BESC-320,2,CA,2011,NA
BESC-320,3,CA,2011,NA
BESC-320,Replacement,CA,2011,NA
BESC-321,1,CA,2011,192
BESC-321,2,CA,2011,276
BESC-321,3,CA,2011,303
BESC-322,1,CA,2011,286
BESC-322,2,CA,2011,495
BESC-322,3,CA,2011,242
BESC-322,Replacement,CA,2011,235
BESC-323,1,CA,2011,NA
BESC-323,Replacement,CA,2011,NA
BESC-324,1,CA,2011,NA
BESC-324,Replacement,CA,2011,328
BESC-325,1,CA,2011,220
BESC-325,3,CA,2011,NA
BESC-325,Replacement,CA,2011,299
BESC-327,1,CA,2011,318
BESC-328,1,CA,2011,488
BESC-328,2,CA,2011,357
BESC-328,3,CA,2011,460
BESC-328,Replacement,CA,2011,400
BESC-329,1,CA,2011,NA
BESC-329,2,CA,2011,547
BESC-329,3,CA,2011,NA
BESC-329,Replacement,CA,2011,471
BESC-33,1,CA,2011,454
BESC-33,2,CA,2011,445
BESC-330,1,CA,2011,NA
BESC-330,2,CA,2011,292
BESC-330,3,CA,2011,364
BESC-330,Replacement,CA,2011,NA
BESC-331,1,CA,2011,NA
BESC-331,2,CA,2011,180
BESC-331,3,CA,2011,NA
BESC-332,1,CA,2011,375
BESC-332,2,CA,2011,373
BESC-332,3,CA,2011,NA
BESC-332,Replacement,CA,2011,386
BESC-333,2,CA,2011,340
BESC-333,Replacement,CA,2011,427
BESC-334,1,CA,2011,162
BESC-334,2,CA,2011,616
BESC-334,Replacement,CA,2011,NA
BESC-335,Replacement,CA,2011,435
BESC-336,2,CA,2011,NA
BESC-336,Replacement,CA,2011,160
BESC-338,1,CA,2011,294
BESC-338,2,CA,2011,260
BESC-338,3,CA,2011,240
BESC-34,1,CA,2011,356
BESC-34,2,CA,2011,526
BESC-34,Replacement,CA,2011,576
BESC-340,1,CA,2011,282
BESC-340,3,CA,2011,306
BESC-341,2,CA,2011,150
BESC-342,1,CA,2011,160
BESC-342,2,CA,2011,394
BESC-342,3,CA,2011,503
BESC-343,1,CA,2011,208
BESC-343,2,CA,2011,235
BESC-343,Replacement,CA,2011,347
BESC-344,1,CA,2011,396
BESC-344,2,CA,2011,570
BESC-344,3,CA,2011,474
BESC-344,Replacement,CA,2011,382
BESC-345,3,CA,2011,308
BESC-345,Replacement,CA,2011,319
BESC-346,1,CA,2011,NA
BESC-346,2,CA,2011,185
BESC-346,3,CA,2011,NA
BESC-346,Replacement,CA,2011,NA
BESC-347,1,CA,2011,374
BESC-347,3,CA,2011,NA
BESC-347,Replacement,CA,2011,NA
BESC-348,1,CA,2011,NA
BESC-348,2,CA,2011,455
BESC-348,Replacement,CA,2011,440
BESC-349,1,CA,2011,NA
BESC-349,3,CA,2011,230
BESC-349,Replacement,CA,2011,386
BESC-35,1,CA,2011,NA
BESC-35,2,CA,2011,433
BESC-35,3,CA,2011,444
BESC-350,Replacement,CA,2011,254
BESC-351,1,CA,2011,426
BESC-351,2,CA,2011,394
BESC-351,3,CA,2011,457
BESC-351,Replacement,CA,2011,334
BESC-352,2,CA,2011,282
BESC-352,3,CA,2011,NA
BESC-352,Replacement,CA,2011,NA
BESC-353,1,CA,2011,294
BESC-353,2,CA,2011,205
BESC-353,3,CA,2011,376
BESC-353,Replacement,CA,2011,230
BESC-354,1,CA,2011,172
BESC-354,2,CA,2011,357
BESC-355,1,CA,2011,NA
BESC-355,2,CA,2011,168
BESC-355,3,CA,2011,NA
BESC-355,Replacement,CA,2011,440
BESC-357,2,CA,2011,NA
BESC-357,3,CA,2011,546
BESC-357,Replacement,CA,2011,162
BESC-358,1,CA,2011,318
BESC-358,2,CA,2011,416
BESC-358,Replacement,CA,2011,252
BESC-359,1,CA,2011,NA
BESC-359,2,CA,2011,295
BESC-359,Replacement,CA,2011,306
BESC-36,1,CA,2011,444
BESC-36,3,CA,2011,580
BESC-36,Replacement,CA,2011,314
BESC-360,1,CA,2011,276
BESC-360,2,CA,2011,563
BESC-360,Replacement,CA,2011,367
BESC-361,1,CA,2011,314
BESC-361,2,CA,2011,280
BESC-361,3,CA,2011,218
BESC-362,1,CA,2011,194
BESC-362,2,CA,2011,195
BESC-362,3,CA,2011,NA
BESC-362,Replacement,CA,2011,155
BESC-363,1,CA,2011,336
BESC-363,2,CA,2011,333
BESC-363,3,CA,2011,349
BESC-363,Replacement,CA,2011,NA
BESC-364,1,CA,2011,NA
BESC-364,2,CA,2011,NA
BESC-364,3,CA,2011,NA
BESC-366,1,CA,2011,NA
BESC-366,2,CA,2011,252
BESC-366,3,CA,2011,483
BESC-366,Replacement,CA,2011,405
BESC-367,3,CA,2011,350
BESC-368,2,CA,2011,220
BESC-368,3,CA,2011,NA
BESC-368,Replacement,CA,2011,262
BESC-369,1,CA,2011,284
BESC-369,3,CA,2011,276
BESC-369,Replacement,CA,2011,208
BESC-37,Replacement,CA,2011,NA
BESC-370,2,CA,2011,309
BESC-370,3,CA,2011,394
BESC-370,Replacement,CA,2011,171
BESC-371,1,CA,2011,238
BESC-371,2,CA,2011,500
BESC-371,Replacement,CA,2011,318
BESC-372,2,CA,2011,NA
BESC-372,Replacement,CA,2011,NA
BESC-373,1,CA,2011,NA
BESC-373,2,CA,2011,102
BESC-373,3,CA,2011,500
BESC-373,Replacement,CA,2011,302
BESC-374,1,CA,2011,332
BESC-374,3,CA,2011,345
BESC-375,1,CA,2011,280
BESC-375,2,CA,2011,485
BESC-375,Replacement,CA,2011,445
BESC-376,1,CA,2011,286
BESC-376,2,CA,2011,245
BESC-376,3,CA,2011,415
BESC-376,Replacement,CA,2011,NA
BESC-378,1,CA,2011,260
BESC-378,2,CA,2011,513
BESC-378,3,CA,2011,388
BESC-378,Replacement,CA,2011,NA
BESC-379,2,CA,2011,317
